antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"bakery, deli, produce","dairy eggs, snacks",0.08778210116731518,0.329727626459144,0.052140077821011675,0.5939716312056738,1.8014008640530816,1.0,0.023195893957516388,1.6508018282840295,0.48768663082811503,0.14270500532481362,0.3942337699980155,0.3760511920484352
"bakery, snacks","dairy eggs, frozen, produce",0.15105058365758756,0.23813229571984434,0.06459143968871596,0.4276146316331788,1.795701966172009,1.0,0.02862141743251223,1.3310397965866625,0.5219565584733287,0.1989930472308799,0.24870766256244617,0.34942823084926916
"deli, snacks","dairy eggs, frozen, produce",0.13712062256809338,0.23813229571984434,0.058365758754863814,0.42565266742338254,1.7874629988204136,1.0,0.025712910112189437,1.326492979191338,0.5105555555555557,0.18418467583497056,0.2461324592840108,0.3353753533195344
"deli, produce, snacks","dairy eggs, frozen",0.12031128404669261,0.27206225680933854,0.058365758754863814,0.48512289780077616,1.783131932705942,1.0,0.025633599297491254,1.4138087323778425,0.49925501297475816,0.17474370922646784,0.2926907458563153,0.3498268951246444
"dairy eggs, deli, frozen","produce, snacks",0.09416342412451362,0.3476264591439689,0.058365758754863814,0.6198347107438017,1.7830481381369714,1.0,0.025632061045587365,1.7160260531212996,0.4848144329896907,0.15222244773695962,0.4172582647092749,0.39386631440480885
"dairy eggs, deli, pantry","produce, snacks",0.0870817120622568,0.3476264591439689,0.05392996108949416,0.6193029490616622,1.7815184453643067,1.0,0.023658053869097185,1.7136290897133775,0.4805261229266003,0.14163090128755365,0.4164431463011283,0.38722031267723805
"canned goods, snacks","pantry, produce",0.1048249027237354,0.291284046692607,0.054319066147859925,0.5181885671863401,1.7789802533648065,1.0,0.023785244288331397,1.4709405070956219,0.48915593714558586,0.15892531876138435,0.32016285147078843,0.35233499959637604
"bakery, dairy eggs, deli","produce, snacks",0.0843579766536965,0.3476264591439689,0.052140077821011675,0.6180811808118081,1.7780038445112454,1.0,0.02281501309633757,1.708147145623038,0.47788492519554193,0.13726695349313664,0.41457034157601497,0.38403499380863515
"dairy eggs, deli, produce, snacks",bakery,0.1038910505836576,0.28249027237354085,0.052140077821011675,0.50187265917603,1.7766015620969655,1.0,0.02279186664446093,1.4404142652350722,0.487806300672063,0.1559953434225844,0.30575527878654934,0.34322283096542544
"frozen, pantry","dairy eggs, produce, snacks",0.1452918287937743,0.27719844357976653,0.07143968871595331,0.49169791108730593,1.7738119476338803,1.0,0.031165019909461168,1.4219921030943898,0.5103992166939718,0.203502549323875,0.2967612141980923,0.37470914644763953
"dairy eggs, frozen, pantry","bakery, produce",0.12155642023346304,0.2380544747081712,0.051284046692607006,0.4218950064020487,1.7722624492534573,1.0,0.022346996926524247,1.3180054379909598,0.49604720766490046,0.16633013629480062,0.24127778901708974,0.3186624427237442
"bakery, frozen",deli,0.12731517509727627,0.23665369649805448,0.05330739299610895,0.41870415647921755,1.769269454376174,1.0,0.023177786189041465,1.3131803917236413,0.49822679939960346,0.17159318637274545,0.2384900000772704,0.3219795034286913
"dairy eggs, frozen, snacks","bakery, produce",0.15392996108949417,0.2380544747081712,0.06459143968871596,0.4196157735085946,1.762688031901092,1.0,0.027947723659707192,1.3128294852153637,0.5114052235431794,0.19729023056810077,0.23828645588657343,0.3454731368360233
"bakery, produce, snacks","dairy eggs, pantry",0.1308171206225681,0.2691828793774319,0.062023346303501946,0.47412254610350985,1.7613399009627353,1.0,0.02680961710245424,1.3897099318625985,0.4973066359399274,0.18351370020723,0.2804253772154298,0.35226798019254707
"deli, pantry, produce","dairy eggs, snacks",0.09291828793774319,0.329727626459144,0.05392996108949416,0.5804020100502513,1.7602468324629994,1.0,0.02329223455313479,1.5974155968219204,0.47613996618801,0.1462642465175179,0.3739888342210297,0.3719805660352743
"bakery, frozen, produce","dairy eggs, snacks",0.11136186770428015,0.329727626459144,0.06459143968871596,0.5800139762403914,1.7590700011066862,1.0,0.027872355372526463,1.595939711375982,0.4855945016602007,0.17155849524596942,0.3734099146277754,0.3879536484931011
"frozen, produce, snacks","bakery, dairy eggs",0.15961089494163425,0.23027237354085603,0.06459143968871596,0.4046806435884934,1.7573998885137345,1.0,0.027837460067525632,1.292965898335548,0.5128309515495078,0.19856459330143542,0.22658439693783647,0.34259040628224946
"deli, snacks","bakery, dairy eggs",0.13712062256809338,0.23027237354085603,0.0554863813229572,0.4046538024971623,1.7572833261536114,1.0,0.023911290102802463,1.29290760516779,0.4994206743856113,0.17789421157684632,0.22654952604271922,0.3228067931039377
"deli, snacks","bakery, produce",0.13712062256809338,0.2380544747081712,0.05727626459143969,0.41770715096481276,1.75467044455634,1.0,0.024634086814334814,1.3085263309592614,0.49843862734487737,0.18017135862913097,0.23578152281665243,0.32915432736210565
"dairy eggs, pantry, snacks","bakery, produce",0.14863813229571984,0.2380544747081712,0.062023346303501946,0.41727748691099475,1.7528655465205238,1.0,0.026639373798240704,1.3075615034208383,0.5044923949270459,0.19103547459252154,0.23521761891597207,0.33891007395566086
"bakery, deli","dairy eggs, snacks",0.09603112840466926,0.329727626459144,0.0554863813229572,0.5777957860615883,1.7523426601112602,1.0,0.023822265287892316,1.5875549116111638,0.4749448456257075,0.14985287936107605,0.3701005283747138,0.37303761453185624
"beverages, deli, produce","dairy eggs, snacks",0.10731517509727627,0.329727626459144,0.06194552529182879,0.5772298767222624,1.7506263667408712,1.0,0.026560747323956448,1.5854298509654208,0.4803216895216207,0.1651452282157676,0.369256230800078,0.3825493258994838
"dairy eggs, deli, snacks","frozen, produce",0.11478599221789883,0.2906614785992218,0.058365758754863814,0.5084745762711864,1.7493703628071606,1.0,0.02500189253433057,1.443136991815376,0.48391208791208784,0.1681614349775785,0.30706509106799185,0.35463889456129605
"beverages, dairy eggs, deli","produce, snacks",0.10194552529182879,0.3476264591439689,0.06194552529182879,0.6076335877862595,1.7479497656264684,1.0,0.02650656330905842,1.6626640827264607,0.4764757496320423,0.15980726761694436,0.3985556009845443,0.3929146224133894
"frozen, produce, snacks",deli,0.15961089494163425,0.23665369649805448,0.06583657587548639,0.41248171623598245,1.7429760123749998,1.0,0.028064067586186014,1.2992724219771703,0.5072277071447602,0.1992463495054169,0.23033847014296813,0.34533983871647855
"bakery, pantry","dairy eggs, frozen, produce",0.12381322957198443,0.23813229571984434,0.051284046692607006,0.41420490257699566,1.7393898686648348,1.0,0.021800118094142232,1.3005702977572184,0.485154280891591,0.1650801603206413,0.23110653709033652,0.31478218985058937
"canned goods, snacks","frozen, produce",0.1048249027237354,0.2906614785992218,0.052996108949416344,0.5055679287305123,1.7393702501170234,1.0,0.022527547729715817,1.4346531356258982,0.4748560134284065,0.15473755964553512,0.3029674036409306,0.3439486229997943
"pantry, produce, snacks","bakery, dairy eggs",0.154863813229572,0.23027237354085603,0.062023346303501946,0.40050251256281405,1.7392555885205003,1.0,0.02636248845554058,1.2839547163903575,0.5029264899912425,0.1919556840077071,0.22115633266931156,0.33492513259097106
"bakery, snacks","dairy eggs, pantry, produce",0.15105058365758756,0.23610894941634242,0.062023346303501946,0.4106130860381247,1.739083109950528,1.0,0.026358951687383607,1.2960773856493701,0.5006003239069233,0.19076112972714215,0.2284411323950593,0.3366513024126022
"deli, frozen, produce","dairy eggs, snacks",0.10194552529182879,0.329727626459144,0.058365758754863814,0.5725190839694657,1.7363394451280703,1.0,0.024751502672258473,1.5679585881045026,0.472216060080878,0.15634771732332708,0.3622280539890438,0.3747655603939847
"bakery, beverages","dairy eggs, produce, snacks",0.14264591439688715,0.27719844357976653,0.06863813229571984,0.4811783960720131,1.7358625461890425,1.0,0.029096906841890112,1.3931600977058758,0.494448591817593,0.19543540881896745,0.2822074062796478,0.3643960481202289
"bakery, snacks",deli,0.15105058365758756,0.23665369649805448,0.061867704280155644,0.4095826893353941,1.7307259315882322,1.0,0.02612102529939893,1.2928928229470125,0.4973297104519895,0.18987341772151897,0.22654068283819084,0.33550492572655927
"dairy eggs, deli","bakery, produce",0.19011673151750974,0.2380544747081712,0.07828793774319066,0.41178878428162097,1.7298090480610753,1.0,0.03302979908855547,1.2953604163451204,0.5209411351626954,0.2237544483985765,0.22801408211815233,0.37032721332420376
"bakery, dairy eggs, snacks","frozen, produce",0.12848249027237355,0.2906614785992218,0.06459143968871596,0.502725620835857,1.7295914933710208,1.0,0.02724652909203773,1.4264529827438304,0.48401643003839623,0.18217734855136086,0.2989604199386465,0.3624739215290396
"beverages, dairy eggs, produce, snacks",deli,0.15167315175097276,0.23665369649805448,0.06194552529182879,0.40841457157516675,1.7257899522331117,1.0,0.026051513270450723,1.2903399354078855,0.49574666747184226,0.189794945159752,0.2250104235641648,0.33508528644526175
"deli, pantry","frozen, produce",0.10194552529182879,0.2906614785992218,0.0511284046692607,0.5015267175572519,1.7254667525062077,1.0,0.02149676755136338,1.4230221485988044,0.4681750195864295,0.1497265268915223,0.29727024910704186,0.3387151660075416
"dairy eggs, frozen, snacks",deli,0.15392996108949417,0.23665369649805448,0.06280155642023347,0.4079878665318504,1.7239868743618143,1.0,0.02637346212660298,1.2894098960946612,0.49635273768068766,0.1915954415954416,0.2244514308221304,0.3366805495105816
"bakery, pantry, produce","dairy eggs, frozen",0.10941634241245136,0.27206225680933854,0.051284046692607006,0.4687055476529161,1.7227878396281384,1.0,0.02151598964405214,1.3701211069960777,0.4710904694443987,0.1553146358708461,0.2701375120098323,0.3286033459088379
"bakery, beverages, produce","dairy eggs, frozen",0.12287937743190662,0.27206225680933854,0.05758754863813229,0.4686510449651678,1.7225875079526332,1.0,0.024156707898681275,1.3699805679357024,0.4782443342996975,0.1707035755478662,0.27006263927757174,0.34016076275718343
"dairy eggs, dry goods pasta, snacks",frozen,0.08536964980544746,0.35089494163424123,0.05151750972762646,0.6034639927073838,1.7197853861809453,1.0,0.02156173144180836,1.6369385035108905,0.45759699329836223,0.13389967637540454,0.3891035015333752,0.3751407344330887
"bakery, pantry, produce","dairy eggs, snacks",0.10941634241245136,0.329727626459144,0.062023346303501946,0.5668563300142248,1.719165409648994,1.0,0.02594575542400339,1.5474596998332406,0.4697171365707737,0.1644655385885266,0.35377961693751164,0.37748056057001067
"deli, pantry","dairy eggs, snacks",0.10194552529182879,0.329727626459144,0.0577431906614786,0.566412213740458,1.717818491046704,1.0,0.02412893457887326,1.5458746643283827,0.4653017513208481,0.15442247658688865,0.3531170261888872,0.3707680610831155
"dairy eggs, pantry, produce, snacks",deli,0.13276264591439688,0.23665369649805448,0.05392996108949416,0.40621336459554513,1.7164885679226423,1.0,0.022511190176989812,1.2855565585136417,0.481316083613284,0.17094227923038974,0.22212679529541796,0.3170494642773845
"bakery, deli","produce, snacks",0.09603112840466926,0.3476264591439689,0.05727626459143969,0.5964343598055105,1.7157334952990395,1.0,0.023893303456524698,1.6165239948119325,0.46147484915858183,0.14823766364551863,0.3813887061315531,0.3805990917003823
"dairy eggs, deli, snacks",bakery,0.11478599221789883,0.28249027237354085,0.0554863813229572,0.48338983050847456,1.711173366951487,1.0,0.023060455116655817,1.3888803782795631,0.4694974030177397,0.16234061930783242,0.2799955880730909,0.33990428164542186
"bakery, frozen, produce","dairy eggs, pantry",0.11136186770428015,0.2691828793774319,0.051284046692607006,0.46051712089447944,1.7107964739792023,1.0,0.021307338491120233,1.3546623051954598,0.4675434454808103,0.155755140628693,0.26180864694857425,0.32551730574935017
"bakery, snacks","dairy eggs, frozen",0.15105058365758756,0.27206225680933854,0.07027237354085603,0.46522411128284386,1.7099913701328784,1.0,0.029177210858604967,1.361201502440341,0.489077109972594,0.19916188795765324,0.265354910197193,0.3617596528954265
"bakery, frozen","dairy eggs, pantry, produce",0.12731517509727627,0.23610894941634242,0.051284046692607006,0.4028117359413203,1.7060417952689406,1.0,0.021223794455631426,1.279146119503443,0.47422377133720506,0.16429818000498628,0.21822848480500875,0.3100083729146285
"beverages, dairy eggs, frozen","bakery, produce",0.14186770428015563,0.2380544747081712,0.05758754863813229,0.405924300603401,1.7051739989387718,1.0,0.023815306817665673,1.2825731233675013,0.4819182154858223,0.1786576533075809,0.22031735908014535,0.3239167106155285
"deli, pantry","produce, snacks",0.10194552529182879,0.3476264591439689,0.06038910505836576,0.5923664122137405,1.704031429806708,1.0,0.024950143075595392,1.6003920197029982,0.46005712983973274,0.15516896620675863,0.37515309518627765,0.38304239571958576
canned goods,"dairy eggs, pantry, produce",0.2,0.23610894941634242,0.08038910505836576,0.40194552529182875,1.702373104812129,1.0,0.03316731517509727,1.2772934287573192,0.5157308809293321,0.22598993655655217,0.21709453952730232,0.3712100731271273
"dry goods pasta, produce, snacks",frozen,0.08840466926070038,0.35089494163424123,0.05276264591439689,0.596830985915493,1.7008822730126603,1.0,0.021741894653969026,1.610007306339524,0.4520315302315813,0.13650090597946446,0.3788848062599311,0.37359846035628275
"bakery, dairy eggs, frozen","produce, snacks",0.10926070038910506,0.3476264591439689,0.06459143968871596,0.5911680911680912,1.7005842783769805,1.0,0.026609529288861303,1.5957011347767733,0.4624998684235457,0.1646498710573299,0.3733162318394336,0.38848756024713044
"dry goods pasta, snacks",frozen,0.09852140077821012,0.35089494163424123,0.05875486381322957,0.5963665086887836,1.6995585798737791,1.0,0.024184202637435842,1.6081546064404122,0.4565964472576927,0.15039840637450202,0.3781692406966634,0.3819047003412869
"bakery, snacks","beverages, dairy eggs, produce",0.15105058365758756,0.2676264591439689,0.06863813229571984,0.4544049459041731,1.6979074018228042,1.0,0.02821299943980983,1.3423390394726686,0.4841745846748268,0.19608714984437528,0.2550317240323689,0.3554374249730229
"deli, frozen","dairy eggs, snacks",0.11229571984435797,0.329727626459144,0.06280155642023347,0.5592515592515593,1.6961016134959965,1.0,0.02577455525443232,1.520759489024301,0.46233040886979004,0.16560640262671866,0.342433825192446,0.37485825543413465
"pantry, produce, snacks","dairy eggs, frozen",0.154863813229572,0.27206225680933854,0.07143968871595331,0.4613065326633166,1.6955918034106459,1.0,0.02930709019061606,1.3513023404378883,0.4854074635788426,0.2009632224168126,0.2599731606503761,0.36194617251014805
"bakery, beverages","dairy eggs, frozen, produce",0.14264591439688715,0.23813229571984434,0.05758754863813229,0.4037097654118931,1.6953171521381785,1.0,0.023618949567745164,1.2776793247443048,0.4783786236994916,0.17818444497953287,0.2173309995447218,0.3227699153856851
"bakery, beverages, produce","dairy eggs, snacks",0.12287937743190662,0.329727626459144,0.06863813229571984,0.5585813806206459,1.6940690915683971,1.0,0.02812140683431997,1.5184506138034597,0.4671025775820634,0.17875962707742193,0.34143396504995926,0.3833737679596031
"canned goods, produce","dairy eggs, pantry",0.17649805447470818,0.2691828793774319,0.08038910505836576,0.45546737213403876,1.6920369274132403,1.0,0.03287885055034898,1.3420997810299469,0.49665498939458275,0.22006817213463997,0.2548989172529441,0.37705429896091935
"canned goods, dairy eggs","pantry, produce",0.16319066147859923,0.291284046692607,0.08038910505836576,0.4926084883166428,1.6911619222198397,1.0,0.03285426880043604,1.396783227524063,0.48839149685956307,0.2148949448720616,0.28406929558239374,0.3842951605355589
"dairy eggs, frozen, pantry","produce, snacks",0.12155642023346304,0.3476264591439689,0.07143968871595331,0.587708066581306,1.690630995202548,1.0,0.029183460763978257,1.5823097372936656,0.46503256393509446,0.179612600273919,0.3680124842621713,0.3966075591469324
"bakery, frozen","beverages, dairy eggs, produce",0.12731517509727627,0.2676264591439689,0.05758754863813229,0.452322738386308,1.6901271265670421,1.0,0.02351463913155384,1.3372356170094495,0.46789919935987345,0.1707035755478662,0.2521886290791688,0.3337507847209237
"deli, snacks","beverages, dairy eggs, produce",0.13712062256809338,0.2676264591439689,0.06194552529182879,0.45175936435868336,1.6880220505987442,1.0,0.025248418598313373,1.3358614689320154,0.47236112923927,0.1807037457434733,0.25141938497599414,0.3416109994227264
"frozen, pantry, produce","dairy eggs, snacks",0.12840466926070038,0.329727626459144,0.07143968871595331,0.5563636363636365,1.6873431029673658,1.0,0.02910112189435117,1.5108598583912742,0.46736402894491136,0.18474542161400684,0.33812524408135713,0.3865131847147425
"deli, frozen","produce, snacks",0.11229571984435797,0.3476264591439689,0.06583657587548639,0.5862785862785863,1.686518879265689,1.0,0.026799612408969102,1.576842578652015,0.4585566160383042,0.1670616113744076,0.36582128518189594,0.38783371892841334
"deli, produce, snacks",bakery,0.12031128404669261,0.28249027237354085,0.05727626459143969,0.47606727037516167,1.6852519075263988,1.0,0.023289497191479054,1.3694691838401305,0.46222816471276046,0.16576576576576577,0.2697900677137557,0.3394110456559004
"deli, snacks","dairy eggs, frozen",0.13712062256809338,0.27206225680933854,0.06280155642023347,0.4580022701475597,1.683446559323839,1.0,0.025496210389256466,1.3430641921486344,0.4704951354579608,0.18130757133228487,0.25543395033099653,0.3444187552110796
"dry goods pasta, frozen","dairy eggs, snacks",0.09291828793774319,0.329727626459144,0.05151750972762646,0.5544388609715243,1.6815056321652317,1.0,0.02087978319126709,1.5043331090371843,0.4468118801410837,0.13881316837911511,0.3352536123864027,0.3553407427349951
"deli, frozen",bakery,0.11229571984435797,0.28249027237354085,0.05330739299610895,0.4747054747054747,1.6804312258857714,1.0,0.021584944510893427,1.365918914201821,0.4561368707523041,0.15610756608933452,0.2678921203866974,0.33170535443262716
"bakery, dairy eggs, pantry","produce, snacks",0.1064591439688716,0.3476264591439689,0.062023346303501946,0.5826023391812866,1.6759435993909855,1.0,0.0250153310421051,1.5629544726638365,0.45137411084984463,0.15819769749900753,0.3601860978742135,0.38051093005628017
"beverages, deli","dairy eggs, snacks",0.12311284046692607,0.329727626459144,0.06801556420233464,0.5524652338811631,1.6755200036282618,1.0,0.02742185952853185,1.4976990041548506,0.45977450571838685,0.17674418604651163,0.3323090973380872,0.37937163039349636
"dairy eggs, frozen, produce, snacks",bakery,0.13649805447470817,0.28249027237354085,0.06459143968871596,0.47320410490307874,1.675116459505389,1.0,0.026032067101697233,1.3620260414034735,0.4667350005646234,0.18225735617039965,0.265799647288998,0.35092712132206283
"bakery, frozen","dairy eggs, snacks",0.12731517509727627,0.329727626459144,0.07027237354085603,0.5519559902200488,1.673975566279827,1.0,0.0282930430438008,1.4959967300311598,0.4613575302664106,0.18169014084507037,0.33154934103420725,0.3825392412747636
"canned goods, dairy eggs, snacks",pantry,0.09073929961089494,0.34653696498054476,0.05237354085603113,0.5771869639794168,1.6655855574074794,1.0,0.020929019364411272,1.5455129793766427,0.439489519201275,0.13606955115244643,0.3529656409593314,0.36416051545029676
"beverages, dry goods pasta","dairy eggs, snacks",0.09268482490272374,0.329727626459144,0.05089494163424124,0.5491183879093198,1.6653696683112482,1.0,0.02033419431028478,1.4865817446688254,0.44034611997976114,0.13699204021784664,0.3273158347422221,0.35173644200752746
"deli, produce, snacks","dairy eggs, pantry",0.12031128404669261,0.2691828793774319,0.05392996108949416,0.4482535575679172,1.665237992121346,1.0,0.021544223228209355,1.3245524835668114,0.45412113246508146,0.1607142857142857,0.2450280284046146,0.3243002393216863
"canned goods, produce, snacks",pantry,0.09416342412451362,0.34653696498054476,0.054319066147859925,0.5768595041322314,1.664640608151622,1.0,0.021687958939575168,1.544316938229572,0.4407745743853327,0.14058408862034238,0.3524645263902791,0.36680388186625046
"dry goods pasta, produce","dairy eggs, frozen",0.1583657587548638,0.27206225680933854,0.07167315175097276,0.4525798525798526,1.6635157624860142,1.0,0.028587806022801247,1.3297605990960468,0.47391551626079303,0.19978308026030367,0.2479849375295174,0.35801189425331303
"frozen, produce, snacks","dairy eggs, pantry",0.15961089494163425,0.2691828793774319,0.07143968871595331,0.4475865431496831,1.6627600692319826,1.0,0.028475168435555427,1.3229531459813655,0.47429258458329787,0.1999128919860627,0.24411533164449237,0.3564905829365068
"dairy eggs, dry goods pasta","frozen, produce",0.14848249027237354,0.2906614785992218,0.07167315175097276,0.4827044025157233,1.6607099256565043,1.0,0.028515011582310103,1.3712440717656378,0.46722219675314974,0.19504447268106734,0.27073522461075633,0.3646453739486247
"breakfast, produce","dairy eggs, snacks",0.13003891050583657,0.329727626459144,0.07120622568093385,0.547576301615799,1.6606928193917905,1.0,0.028328804372511313,1.481514730405781,0.45730973913324013,0.18325655918285594,0.32501514870115134,0.3817654932671867
"bakery, snacks","dairy eggs, pantry",0.15105058365758756,0.2691828793774319,0.06747081712062257,0.44667697063369394,1.6593810559823554,1.0,0.026810586080031493,1.320778427493859,0.4680675395478353,0.1912640635340834,0.24287073502746961,0.34866372382508637
"bakery, dairy eggs, pantry","frozen, produce",0.1064591439688716,0.2906614785992218,0.051284046692607006,0.4817251461988304,1.6573408644323882,1.0,0.02034047449620736,1.3686531696421218,0.44387877416628096,0.14828982898289828,0.269354704185954,0.32908211794546605
"bakery, dairy eggs, snacks","pantry, produce",0.12848249027237355,0.291284046692607,0.062023346303501946,0.48273773470623865,1.6572748840435925,1.0,0.02459844660782147,1.3701288511832623,0.4550680777534023,0.17337393952577768,0.270141637309231,0.34783426943700924
"dairy eggs, pantry, produce, snacks",bakery,0.13276264591439688,0.28249027237354085,0.062023346303501946,0.46717467760844084,1.6537726190822217,1.0,0.02451919029811201,1.346613416205434,0.4558405488636948,0.17558933685833883,0.25739637822868383,0.3433669531292893
"dairy eggs, pantry, snacks","frozen, produce",0.14863813229571984,0.2906614785992218,0.07143968871595331,0.48062827225130894,1.6535671481738472,1.0,0.028236309406652636,1.365762677293837,0.4642524285765494,0.19420351174106198,0.2678083706450159,0.3632057023907147
"bakery, pantry","dairy eggs, snacks",0.12381322957198443,0.329727626459144,0.06747081712062257,0.5449402891263356,1.652698304289217,1.0,0.026646174809611047,1.4729327987617429,0.4507359638369018,0.17476315259020359,0.32108240047293773,0.37478310184426294
"deli, snacks","frozen, produce",0.13712062256809338,0.2906614785992218,0.06583657587548639,0.48013620885357555,1.6518742392954338,1.0,0.02598089297339854,1.3644699505547722,0.4573374320714747,0.18189636637282308,0.267114677319632,0.35332111647498055
"bakery, pantry","dairy eggs, frozen",0.12381322957198443,0.27206225680933854,0.05540856031128405,0.4475172847265871,1.6449076397988112,1.0,0.02172365365107723,1.317575596605623,0.44746524877476296,0.16274285714285713,0.2410302660612191,0.32558930597885416
"beverages, dairy eggs, frozen, produce",bakery,0.12396887159533074,0.28249027237354085,0.05758754863813229,0.46453232893910856,1.6444188503767343,1.0,0.0225675483353268,1.3399683424489441,0.4473384728781371,0.16506803479812623,0.2537137122415993,0.33419453912520164
"beverages, deli","produce, snacks",0.12311284046692607,0.3476264591439689,0.07027237354085603,0.5707964601769911,1.6419822057923295,1.0,0.027475092734182194,1.5199630951903407,0.44587265027119394,0.17547609794014768,0.3420892894279298,0.3864727767641168
"beverages, pantry","dairy eggs, produce, snacks",0.16824902723735408,0.27719844357976653,0.07657587548638133,0.45513413506012956,1.6419072530945158,1.0,0.02993750700237703,1.3265678819868802,0.47003515834185294,0.20759493670886078,0.2461750253577374,0.365691716603619
"dry goods pasta, produce","dairy eggs, pantry",0.1583657587548638,0.2691828793774319,0.06980544747081711,0.4407862407862408,1.6374973096568934,1.0,0.027176096534391132,1.3068654134155766,0.4625667002197184,0.19512725690667826,0.23481026451956066,0.35005487234455146
