Customer_ID,Preferred_Login_Device,City_Tier,Preferred_Payment_Mode,Hours_Spend_On_Website,Total_Devices_Registered,Satisfaction_Score,Marital_Status,Complain_Count_In_Last_Month,Order_Amount_Hike_From_Last_Year,Discount_Coupon_Used_Count,Days_Since_Last_Order,Average_Cash_Back,Churn,Customer_Gender,Customer_Residence_Type,Customer_Qualification,Customer_Income,Loyalty_Engagement_Score,Total_Subscriptions,Membership_Type,Customer_Live_Time_Value,Customer_Age,Total_Amount_Spent,Total_Returns,Preferred_Order_Category,Preferred_Order_Category_Name,Total_Orders_This_Month,Purchase_Intensity,Recency,Avg_Spend_Per_Order,KMeans_Segment,Segment_Label,Cultural_Eco_Alignment,Emotional_Guilt_Score,Emotional_Pride_Score,Social_Influence_Score,Green_Knowledge_Level,Time_Spent_on_Green_Products,Clicks_on_Green_Products,Previous_Green_Purchases,Referral_Source,Product_Category,Green_Product_Rating,Green_Consumption_Score,Green_Purchase_Made,Pred_Green_Class,Pred_Green_Score,Eco_Segment
1529,Mobile Phone,1,Credit Card,2,3,5,Married,0,15,1,2,294,0,Male,Rural,High School,5K-10K,4751,1,Platinum,48708,63,13048,3,7,beverages,2,26.096,2,4349.333333333333,3,Value Seeking Customers,,,,,,,,,,,,,,,,
3078,Mobile Phone,1,Credit Card,3,5,5,Divorced,0,17,1,4,165,0,Male,Urban,Bachelor,5K-10K,3911,1,Platinum,33144,49,6349,1,20,deli,1,6.349,4,3174.5,3,Value Seeking Customers,,,,,,,,,,,,,,,,
2497,Mobile Phone,1,Credit Card,3,4,5,Single,0,12,2,4,155,1,Male,Urban,Bachelor,5K-10K,3491,1,Silver,32748,31,12650,1,4,produce,3,37.95,4,3162.5,3,Value Seeking Customers,,,,,,,,,,,,,,,,
79,Mobile Phone,1,Debit Card,2,4,4,Divorced,0,16,1,3,225,0,Male,Urban,Bachelor,5K-10K,4180,More than 1,Platinum,106428,41,7175,3,4,produce,5,35.875,3,1195.8333333333333,0,Frequent Loyal Customers,3.0,6.0,1.0,5.0,4.0,6.0,4.0,1.0,Ads,Non-Eco-Friendly,1.0,0.35,0.0,0.0,0.46,Low_Interest
917,Computer,1,COD,2,3,1,Single,1,13,1,3,138,0,Male,Urban,Bachelor,2K-5K,4146,More than 1,Silver,65376,30,11983,4,4,produce,1,11.983,3,5991.5,2,High-Value Customers,1.0,5.0,6.0,6.0,1.0,17.0,5.0,2.0,Organic Search,Eco-Friendly,1.0,0.44,0.0,0.0,0.51,Low_Interest
2273,Mobile Phone,1,CC,3,3,3,Married,0,17,0,2,130,0,Male,Urban,High School,5K-10K,10125,More than 1,Platinum,540480,18,1292,1,19,snacks,5,6.46,2,215.33333333333334,0,Frequent Loyal Customers,,,,,,,,,,,,,,,,
4070,Mobile Phone,1,COD,4,5,4,Married,0,17,2,2,150,1,Male,Rural,High School,5K-10K,0,More than 1,Platinum,64848,37,9167,2,1,frozen,2,18.334,2,3055.6666666666665,3,Value Seeking Customers,,,,,,,,,,,,,,,,
4853,Mobile Phone,2,Credit Card,4,4,4,Married,1,12,1,5,146,1,Male,Urban,High School,5K-10K,3880,More than 1,Platinum,61860,56,4432,1,18,babies,2,8.864,5,1477.3333333333333,0,Frequent Loyal Customers,,,,,,,,,,,,,,,,
4438,Computer,1,Credit Card,4,4,3,Married,0,13,2,3,151,1,Female,Urban,Bachelor,2K-5K,5932,More than 1,Platinum,226632,36,1353,2,4,produce,7,9.471,3,169.125,0,Frequent Loyal Customers,,,,,,,,,,,,,,,,
3658,Mobile Phone,3,Credit Card,3,4,5,Single,1,12,2,3,149,0,Female,Urban,High School,<=2K,0,More than 1,Gold,64572,38,17981,4,4,produce,4,71.924,3,3596.2,3,Value Seeking Customers,,,,,,,,,,,,,,,,
2083,Mobile Phone,1,Debit Card,3,3,5,Married,0,14,1,4,121,0,Male,Urban,Bachelor,More than 10K,3788,1,Platinum,44712,29,16237,1,4,produce,3,48.711,4,4059.25,1,At-Risk Customers,,,,,,,,,,,,,,,,
3195,Mobile Phone,3,E wallet,4,6,4,Single,1,15,1,12,313,1,Female,Urban,High School,5K-10K,5304,More than 1,Platinum,91848,49,9011,2,16,dairy eggs,1,9.011,12,4505.5,1,At-Risk Customers,,,,,,,,,,,,,,,,
3913,Mobile Phone,1,Debit Card,4,5,1,Married,0,14,1,3,154,0,Male,Urban,High School,5K-10K,5735,1,Platinum,64608,33,11752,3,4,produce,2,23.504,3,3917.3333333333335,3,Value Seeking Customers,,,,,,,,,,,,,,,,
1227,Mobile Phone,3,E wallet,3,3,5,Married,1,21,1,3,155,0,Male,Urban,High School,5K-10K,7162,1,Platinum,36324,66,13925,3,16,dairy eggs,1,13.925,3,6962.5,2,High-Value Customers,,,,,,,,,,,,,,,,
4390,Mobile Phone,1,Debit Card,4,5,5,Married,1,24,2,8,171,0,Male,Urban,Bachelor,2K-5K,5791,1,Platinum,35016,35,11319,3,16,dairy eggs,2,22.638,8,3773.0,1,At-Risk Customers,,,,,,,,,,,,,,,,
2873,Mobile Phone,3,E wallet,3,4,4,Married,0,15,1,3,148,0,Male,Urban,High School,5K-10K,3279,More than 1,Platinum,121968,60,17790,1,4,produce,3,53.37,3,4447.5,2,High-Value Customers,,,,,,,,,,,,,,,,
1869,Computer,3,E wallet,2,3,1,Single,1,14,1,2,123,1,Male,Urban,Bachelor,5K-10K,6351,More than 1,Platinum,266088,61,11446,2,16,dairy eggs,5,57.23,2,1907.6666666666667,3,Value Seeking Customers,,,,,,,,,,,,,,,,
3775,Mobile Phone,3,Credit Card,3,4,3,Single,0,17,6,8,175,0,Male,Rural,High School,5K-10K,5994,1,Platinum,32304,26,6843,1,4,produce,2,13.686,8,2281.0,1,At-Risk Customers,,,,,,,,,,,,,,,,
158,Mobile Phone,1,Credit Card,3,2,5,Single,0,19,0,7,157,0,Male,Urban,High School,5K-10K,3760,1,Platinum,66084,24,12853,3,4,produce,4,51.412,7,2570.6,1,At-Risk Customers,10.0,3.0,5.0,4.0,2.0,15.0,1.0,3.0,Ads,Non-Eco-Friendly,2.0,0.53,1.0,1.0,0.5,Eco_Conscious
1819,Mobile Phone,3,Debit Card,2,3,1,Single,1,17,1,7,142,0,Female,Rural,Bachelor,More than 10K,0,More than 1,Platinum,64188,58,14615,3,18,babies,1,14.615,7,7307.5,2,High-Value Customers,,,,,,,,,,,,,,,,
1794,Mobile Phone,3,Debit Card,2,4,1,Married,1,11,3,7,203,1,Female,Rural,Bachelor,5K-10K,2922,More than 1,Gold,90216,63,4886,2,19,snacks,2,9.772,7,1628.6666666666667,0,Frequent Loyal Customers,,,,,,,,,,,,,,,,
2440,Mobile Phone,1,UPI,2,3,3,Married,1,19,0,2,140,0,Male,Urban,Bachelor,2K-5K,3875,More than 1,Silver,31320,51,2618,0,4,produce,5,13.09,2,436.3333333333333,0,Frequent Loyal Customers,,,,,,,,,,,,,,,,
942,Computer,1,CC,2,4,4,Single,0,22,1,3,124,0,Male,Urban,Bachelor,2K-5K,2038,More than 1,Silver,451404,26,6823,2,6,international,1,6.823,3,3411.5,3,Value Seeking Customers,8.0,8.0,10.0,3.0,10.0,5.0,2.0,1.0,Ads,Eco-Friendly,2.0,0.7,1.0,1.0,0.72,Eco_Warrior
3057,Mobile Phone,3,Cash on Delivery,4,4,2,Divorced,1,15,1,5,244,0,Male,Urban,Bachelor,5K-10K,2872,More than 1,Platinum,28716,69,8619,1,4,produce,2,17.238,5,2873.0,1,At-Risk Customers,,,,,,,,,,,,,,,,
2615,Mobile Phone,1,Debit Card,4,4,2,Divorced,0,12,2,1,152,0,Female,Rural,Others,5K-10K,2049,1,Silver,71352,19,18663,5,19,snacks,3,55.989,1,4665.75,3,Value Seeking Customers,,,,,,,,,,,,,,,,
3158,Mobile Phone,3,Debit Card,4,4,5,Divorced,1,16,2,3,215,0,Female,Urban,Bachelor,5K-10K,4017,More than 1,Silver,95700,45,11853,1,4,produce,3,35.559,3,2963.25,3,Value Seeking Customers,,,,,,,,,,,,,,,,
2479,Computer,1,Debit Card,3,3,3,Married,1,14,0,2,157,0,Male,Urban,High School,5K-10K,3604,1,Platinum,68628,70,9880,1,4,produce,3,29.64,2,2470.0,3,Value Seeking Customers,,,,,,,,,,,,,,,,
4860,Mobile Phone,1,Debit Card,3,4,5,Married,0,13,2,8,169,0,Male,Urban,Bachelor,5K-10K,5657,1,Platinum,32640,39,2183,1,16,dairy eggs,1,2.183,8,1091.5,0,Frequent Loyal Customers,,,,,,,,,,,,,,,,
82,Computer,3,E wallet,2,4,5,Single,0,15,0,1,167,1,Female,Rural,High School,2K-5K,5403,More than 1,Silver,71496,56,25574,4,16,dairy eggs,2,51.148,1,8524.666666666666,2,High-Value Customers,1.0,8.0,3.0,5.0,5.0,3.0,1.0,0.0,Social Media,Non-Eco-Friendly,4.0,0.36,0.0,0.0,0.4,Low_Interest
4593,Mobile Phone,1,Credit Card,4,4,3,Single,0,19,2,3,161,0,Male,Urban,High School,5K-10K,5253,More than 1,Gold,98904,70,24907,2,4,produce,3,74.721,3,6226.75,2,High-Value Customers,,,,,,,,,,,,,,,,
3681,Mobile Phone,3,E wallet,3,5,5,Married,1,14,1,1,234,1,Male,Rural,Others,5K-10K,0,1,Platinum,55872,24,10740,1,4,produce,2,21.48,1,3580.0,3,Value Seeking Customers,,,,,,,,,,,,,,,,
2300,Computer,2,UPI,3,4,1,Married,0,11,1,2,122,1,Female,Urban,High School,5K-10K,5749,More than 1,Gold,106992,48,8683,2,4,produce,4,34.732,2,1736.6,3,Value Seeking Customers,,,,,,,,,,,,,,,,
2046,Computer,1,Cash on Delivery,3,4,3,Married,0,20,1,0,120,0,Male,Urban,High School,More than 10K,18244,More than 1,Silver,67260,68,20761,4,4,produce,3,62.283,0,5190.25,2,High-Value Customers,,,,,,,,,,,,,,,,
3515,Mobile Phone,3,E wallet,3,5,4,Married,0,15,1,4,167,0,Male,Rural,Bachelor,More than 10K,3517,More than 1,Silver,120420,30,13439,2,3,bakery,1,13.439,4,6719.5,2,High-Value Customers,,,,,,,,,,,,,,,,
1207,Mobile Phone,1,CC,2,4,3,Single,0,13,0,8,122,0,Male,Urban,Bachelor,5K-10K,5048,1,Gold,32832,43,11998,3,4,produce,4,47.992,8,2399.6,1,At-Risk Customers,,,,,,,,,,,,,,,,
1298,Mobile Phone,2,Debit Card,3,3,3,Married,0,23,2,7,129,0,Female,Rural,High School,5K-10K,6636,More than 1,Silver,69072,57,9424,3,4,produce,3,28.272,7,2356.0,1,At-Risk Customers,,,,,,,,,,,,,,,,
3850,Mobile Phone,1,Debit Card,3,5,1,Single,0,23,2,1,136,1,Male,Rural,Bachelor,5K-10K,0,More than 1,Silver,106296,50,13391,2,17,household,1,13.391,1,6695.5,2,High-Value Customers,,,,,,,,,,,,,,,,
2381,Mobile Phone,3,Debit Card,3,3,1,Married,1,13,0,0,197,0,Female,Urban,Bachelor,More than 10K,3172,More than 1,Gold,101460,49,6837,1,1,frozen,2,13.674,0,2279.0,3,Value Seeking Customers,,,,,,,,,,,,,,,,
1456,Mobile Phone,2,UPI,3,4,5,Married,0,12,0,0,164,0,Female,Urban,Bachelor,5K-10K,3304,More than 1,Silver,74760,49,3178,1,16,dairy eggs,3,9.534,0,794.5,0,Frequent Loyal Customers,,,,,,,,,,,,,,,,
1152,Computer,3,E wallet,2,3,5,Married,0,19,1,0,118,1,Male,Rural,Others,5K-10K,2530,More than 1,Gold,63408,29,26394,2,4,produce,2,52.788,0,8798.0,2,High-Value Customers,8.0,1.0,2.0,9.0,7.0,7.0,3.0,5.0,Email,Eco-Friendly,1.0,0.48,0.0,0.0,0.5,Low_Interest
3375,Computer,1,COD,4,4,5,Married,0,15,2,3,166,0,Female,Urban,Bachelor,5K-10K,2151,More than 1,Gold,106548,31,2741,0,19,snacks,3,8.223,3,685.25,0,Frequent Loyal Customers,,,,,,,,,,,,,,,,
1990,Mobile Phone,3,E wallet,3,5,4,Single,1,16,1,11,288,1,Female,Urban,Bachelor,2K-5K,2696,1,Silver,32472,33,4642,0,19,snacks,2,9.284,11,1547.3333333333333,0,Frequent Loyal Customers,,,,,,,,,,,,,,,,
1732,Computer,1,Credit Card,2,4,1,Married,0,22,0,0,238,0,Male,Urban,Bachelor,2K-5K,5256,More than 1,Platinum,363120,50,16133,2,4,produce,3,48.399,0,4033.25,3,Value Seeking Customers,,,,,,,,,,,,,,,,
4713,Mobile Phone,1,Credit Card,3,4,1,Married,1,15,1,11,315,0,Male,Urban,Bachelor,5K-10K,7283,1,Silver,51936,52,11030,0,15,canned goods,4,44.12,11,2206.0,1,At-Risk Customers,,,,,,,,,,,,,,,,
1088,Mobile Phone,3,E wallet,2,3,4,Married,0,21,1,4,144,0,Female,Rural,Bachelor,More than 10K,0,1,Platinum,35496,48,6122,0,4,produce,2,12.244,4,2040.6666666666667,3,Value Seeking Customers,9.0,9.0,1.0,2.0,4.0,6.0,2.0,3.0,Social Media,Eco-Friendly,4.0,0.51,1.0,1.0,0.54,Eco_Conscious
1450,Mobile Phone,1,Credit Card,2,1,1,Married,0,17,1,7,196,0,Female,Urban,High School,5K-10K,2152,More than 1,Gold,51432,30,9242,2,4,produce,4,36.968,7,1848.4,1,At-Risk Customers,,,,,,,,,,,,,,,,
3961,Computer,1,Debit Card,3,2,1,Married,0,19,2,1,162,0,Female,Urban,High School,5K-10K,0,More than 1,Silver,69072,27,6703,2,4,produce,2,13.406,1,2234.3333333333335,3,Value Seeking Customers,,,,,,,,,,,,,,,,
4811,Computer,1,Debit Card,4,2,3,Single,1,13,2,3,188,0,Male,Urban,Bachelor,5K-10K,5067,1,Silver,65940,26,13200,3,4,produce,3,39.6,3,3300.0,3,Value Seeking Customers,,,,,,,,,,,,,,,,
3031,Mobile Phone,1,Credit Card,3,4,3,Married,1,12,3,3,229,0,Female,Rural,High School,More than 10K,3214,1,Gold,66948,28,9760,1,13,pantry,1,9.76,3,4880.0,2,High-Value Customers,,,,,,,,,,,,,,,,
4958,Mobile Phone,1,Debit Card,3,4,5,Married,1,18,2,3,179,0,Male,Rural,Bachelor,More than 10K,3680,More than 1,Silver,94296,29,13818,1,4,produce,4,55.272,3,2763.6,3,Value Seeking Customers,,,,,,,,,,,,,,,,
406,Computer,1,Debit Card,3,3,2,Married,0,13,1,9,284,0,Female,Urban,Bachelor,5K-10K,16511,More than 1,Platinum,90432,58,10174,1,7,beverages,3,30.522,9,2543.5,1,At-Risk Customers,6.0,2.0,9.0,10.0,9.0,16.0,8.0,1.0,Social Media,Eco-Friendly,5.0,0.66,1.0,1.0,0.56,Eco_Conscious
722,Mobile Phone,2,Debit Card,2,3,5,Single,0,12,3,7,134,0,Female,Urban,High School,5K-10K,2935,1,Silver,63420,50,9698,1,1,frozen,1,9.698,7,4849.0,1,At-Risk Customers,1.0,6.0,2.0,5.0,3.0,0.0,4.0,2.0,Social Media,Eco-Friendly,1.0,0.3,0.0,0.0,0.4,Low_Interest
3124,Mobile Phone,1,Credit Card,3,5,2,Married,0,14,1,4,182,0,Female,Rural,High School,More than 10K,2261,More than 1,Platinum,145296,38,240,0,16,dairy eggs,1,0.24,4,120.0,0,Frequent Loyal Customers,,,,,,,,,,,,,,,,
4083,Mobile Phone,1,Debit Card,3,4,4,Married,0,26,1,9,231,0,Female,Rural,High School,5K-10K,0,1,Platinum,31836,25,17498,3,4,produce,3,52.494,9,4374.5,1,At-Risk Customers,,,,,,,,,,,,,,,,
3394,Mobile Phone,3,Debit Card,3,4,5,Married,0,16,1,3,171,0,Female,Rural,High School,5K-10K,0,More than 1,Gold,76056,29,2169,0,4,produce,2,4.338,3,723.0,0,Frequent Loyal Customers,,,,,,,,,,,,,,,,
237,Computer,1,CC,3,3,2,Divorced,0,20,0,2,123,0,Male,Urban,Bachelor,5K-10K,4343,More than 1,Platinum,296832,35,12472,3,16,dairy eggs,5,62.36,2,2078.6666666666665,3,Value Seeking Customers,2.0,4.0,7.0,5.0,4.0,17.0,2.0,1.0,Ads,Non-Eco-Friendly,3.0,0.45,0.0,0.0,0.4,Low_Interest
497,Mobile Phone,1,Credit Card,2,3,5,Single,1,13,1,17,147,0,Female,Urban,High School,5K-10K,5944,More than 1,Platinum,70968,68,8498,2,16,dairy eggs,2,16.996,17,2832.6666666666665,1,At-Risk Customers,2.0,9.0,4.0,8.0,3.0,6.0,4.0,2.0,Organic Search,Eco-Friendly,4.0,0.48,0.0,0.0,0.4,Low_Interest
4890,Mobile Phone,1,Debit Card,4,4,4,Single,1,24,2,1,150,1,Male,Urban,Bachelor,5K-10K,5808,More than 1,Platinum,595200,56,2825,2,13,pantry,1,2.825,1,1412.5,0,Frequent Loyal Customers,,,,,,,,,,,,,,,,
572,Mobile Phone,3,Debit Card,2,4,3,Divorced,0,11,6,0,207,0,Male,Rural,High School,More than 10K,3353,More than 1,Gold,54780,62,10423,0,7,beverages,4,41.692,0,2084.6,3,Value Seeking Customers,8.0,8.0,6.0,10.0,7.0,0.0,1.0,1.0,Organic Search,Non-Eco-Friendly,4.0,0.62,1.0,1.0,0.65,Eco_Conscious
2237,Mobile Phone,1,Debit Card,3,3,4,Single,0,11,0,3,120,0,Male,Rural,Bachelor,More than 10K,2975,More than 1,Silver,147144,65,14406,2,4,produce,3,43.218,3,3601.5,3,Value Seeking Customers,,,,,,,,,,,,,,,,
2170,Mobile Phone,3,COD,2,3,4,Married,0,12,1,3,193,0,Female,Rural,High School,5K-10K,0,More than 1,Gold,107472,20,8318,1,4,produce,3,24.954,3,2079.5,3,Value Seeking Customers,,,,,,,,,,,,,,,,
2669,Computer,1,Credit Card,3,5,2,Divorced,0,15,10,4,318,0,Male,Rural,Bachelor,More than 10K,2456,More than 1,Platinum,31824,35,19786,2,4,produce,2,39.572,4,6595.333333333333,2,High-Value Customers,,,,,,,,,,,,,,,,
2536,Mobile Phone,1,COD,3,4,4,Divorced,1,17,2,2,156,0,Female,Rural,High School,2K-5K,3678,More than 1,Silver,59820,55,2218,1,12,meat seafood,1,2.218,2,1109.0,0,Frequent Loyal Customers,,,,,,,,,,,,,,,,
3354,Mobile Phone,1,COD,4,4,1,Married,0,21,2,4,146,0,Male,Urban,High School,5K-10K,6038,More than 1,Silver,71712,42,2894,2,4,produce,2,5.788,4,964.6666666666666,0,Frequent Loyal Customers,,,,,,,,,,,,,,,,
1817,Mobile Phone,1,COD,3,3,4,Married,0,14,2,2,128,0,Male,Urban,High School,5K-10K,12573,More than 1,Silver,78420,27,12252,3,7,beverages,5,61.26,2,2042.0,3,Value Seeking Customers,,,,,,,,,,,,,,,,
4985,Mobile Phone,2,Debit Card,3,4,1,Single,1,17,2,3,213,0,Male,Urban,High School,2K-5K,6793,1,Platinum,32028,68,16697,2,13,pantry,1,16.697,3,8348.5,2,High-Value Customers,,,,,,,,,,,,,,,,
1657,Computer,1,Debit Card,3,1,5,Married,0,14,0,3,217,0,Male,Rural,Others,5K-10K,0,1,Platinum,49404,58,4937,1,19,snacks,4,19.748,3,987.4,0,Frequent Loyal Customers,,,,,,,,,,,,,,,,
193,Mobile Phone,1,Debit Card,3,3,2,Married,0,12,1,2,129,0,Female,Rural,High School,2K-5K,0,More than 1,Platinum,158028,29,10845,4,4,produce,3,32.535,2,2711.25,3,Value Seeking Customers,6.0,2.0,3.0,10.0,8.0,7.0,3.0,3.0,Ads,Non-Eco-Friendly,2.0,0.48,0.0,0.0,0.45,Low_Interest
1318,Mobile Phone,1,CC,3,3,1,Married,0,24,2,2,123,0,Male,Urban,Bachelor,5K-10K,2991,More than 1,Silver,72012,41,7520,1,4,produce,2,15.04,2,2506.6666666666665,3,Value Seeking Customers,,,,,,,,,,,,,,,,
477,Mobile Phone,1,Debit Card,3,3,2,Divorced,1,17,4,11,166,0,Female,Urban,High School,5K-10K,8261,1,Platinum,34728,36,6785,1,15,canned goods,2,13.57,11,2261.6666666666665,1,At-Risk Customers,9.0,2.0,9.0,2.0,6.0,11.0,0.0,2.0,Email,Eco-Friendly,3.0,0.56,1.0,1.0,0.61,Eco_Conscious
4751,Mobile Phone,1,Debit Card,4,5,3,Married,0,15,3,12,301,0,Male,Rural,Bachelor,2K-5K,0,1,Platinum,42300,67,14551,4,16,dairy eggs,2,29.102,12,4850.333333333333,1,At-Risk Customers,,,,,,,,,,,,,,,,
855,Computer,1,Debit Card,2,3,1,Married,1,14,12,9,201,0,Male,Urban,Bachelor,5K-10K,3319,More than 1,Silver,67308,29,6517,3,16,dairy eggs,4,26.068,9,1303.4,0,Frequent Loyal Customers,2.0,6.0,3.0,7.0,3.0,1.0,1.0,3.0,Ads,Eco-Friendly,3.0,0.36,0.0,0.0,0.4,Low_Interest
184,Mobile Phone,1,UPI,3,5,5,Divorced,1,11,1,7,121,1,Female,Urban,Bachelor,5K-10K,5841,More than 1,Gold,146556,70,18565,2,7,beverages,3,55.695,7,4641.25,1,At-Risk Customers,9.0,10.0,10.0,8.0,1.0,10.0,5.0,2.0,Social Media,Eco-Friendly,2.0,0.77,1.0,1.0,0.67,Eco_Conscious
3851,Mobile Phone,3,E wallet,4,4,5,Married,0,26,9,3,230,0,Male,Rural,Bachelor,More than 10K,2021,More than 1,Platinum,67260,54,16294,4,4,produce,4,65.176,3,3258.8,3,Value Seeking Customers,,,,,,,,,,,,,,,,
1736,Mobile Phone,1,Debit Card,3,1,1,Married,1,24,1,2,128,0,Male,Urban,Bachelor,2K-5K,3914,More than 1,Silver,157272,60,19770,3,1,frozen,3,59.31,2,4942.5,2,High-Value Customers,,,,,,,,,,,,,,,,
1700,Mobile Phone,1,Credit Card,2,3,3,Married,0,11,1,3,217,0,Male,Urban,High School,5K-10K,2756,1,Gold,62256,30,9896,0,4,produce,2,19.792,3,3298.6666666666665,3,Value Seeking Customers,,,,,,,,,,,,,,,,
3763,Mobile Phone,3,Debit Card,4,4,1,Married,0,15,1,3,227,0,Male,Urban,Bachelor,2K-5K,3823,More than 1,Silver,177456,46,9059,0,4,produce,3,27.177,3,2264.75,3,Value Seeking Customers,,,,,,,,,,,,,,,,
2856,Mobile Phone,2,UPI,4,5,2,Married,0,15,13,7,316,0,Female,Rural,High School,5K-10K,0,More than 1,Platinum,114984,36,2361,0,19,snacks,2,4.722,7,787.0,0,Frequent Loyal Customers,,,,,,,,,,,,,,,,
