Customer_ID,Customer_Gender,Customer_Residence_Type,Customer_Qualification,Customer_Income,Loyalty_Engagement_Score,Total_Subscriptions,Membership_Type,Customer_Live_Time_Value
0056,Male,Rural,High School,5K-10K,3170,1,Platinum,49404
0057,Female,Rural,High School,5K-10K,2845,More than 1,Platinum,227160
0058,Male,Rural,Bachelor,5K-10K,4262,1,Platinum,71928
0059,Male,Urban,High School,5K-10K,10108,More than 1,Platinum,56904
0060,Female,Urban,High School,More than 10K,5124,1,Gold,31776
0061,Female,Urban,Bachelor,5K-10K,4384,More than 1,Gold,480288
0062,Male,Rural,High School,5K-10K,2852,1,Silver,49896
0063,Male,Urban,High School,5K-10K,5976,More than 1,Platinum,62136
0064,Male,Rural,High School,5K-10K,6526,More than 1,Platinum,60840
0065,Female,Urban,High School,2K-5K,3203,1,Platinum,35976
0066,Female,Urban,High School,5K-10K,2634,More than 1,Silver,71256
0067,Female,Urban,Bachelor,5K-10K,3335,More than 1,Gold,31404
0068,Male,Urban,Bachelor,5K-10K,3566,1,Platinum,33216
0069,Female,Urban,High School,5K-10K,7317,More than 1,Platinum,64164
0070,Male,Urban,High School,5K-10K,6111,1,Platinum,44688
0071,Male,Urban,Bachelor,More than 10K,2280,More than 1,Platinum,53508
0072,Male,Urban,High School,5K-10K,11583,More than 1,Silver,430620
0073,Female,Urban,Bachelor,2K-5K,2669,1,Silver,31500
0074,Male,Urban,Bachelor,5K-10K,2692,More than 1,Platinum,103716
0075,Male,Urban,Bachelor,5K-10K,11021,More than 1,Silver,94272
0076,Female,Urban,High School,More than 10K,3207,1,Silver,30924
0077,Male,Rural,Bachelor,2K-5K,5144,More than 1,Gold,95064
0078,Male,Urban,High School,5K-10K,0,More than 1,Gold,109416
0079,Male,Urban,Bachelor,5K-10K,4180,More than 1,Platinum,106428
0080,Female,Urban,Bachelor,More than 10K,6013,More than 1,Gold,69636
0081,Male,Urban,High School,More than 10K,3628,More than 1,Platinum,71052
0082,Female,Rural,High School,2K-5K,5403,More than 1,Silver,71496
0083,Female,Urban,High School,5K-10K,6259,1,Gold,30804
0084,Male,Urban,High School,5K-10K,3088,More than 1,Platinum,89808
0085,Female,Urban,High School,2K-5K,6383,More than 1,Platinum,213216
0086,Male,Rural,High School,5K-10K,0,1,Platinum,31224
0087,Female,Rural,Bachelor,5K-10K,2065,More than 1,Gold,117312
0088,Male,Urban,Bachelor,5K-10K,7239,More than 1,Silver,389136
0089,Male,Urban,High School,2K-5K,6494,1,Platinum,67380
0090,Female,Rural,Bachelor,5K-10K,0,More than 1,Gold,32700
0091,Male,Urban,High School,5K-10K,7231,More than 1,Silver,113508
0092,Male,Rural,High School,5K-10K,3563,More than 1,Silver,97164
0093,Male,Urban,High School,<=2K,6445,More than 1,Silver,115908
0094,Female,Urban,High School,2K-5K,4234,More than 1,Platinum,65748
0095,Female,Rural,Others,More than 10K,5792,More than 1,Silver,72432
0096,Male,Urban,High School,5K-10K,5102,1,Gold,35820
0097,Female,Urban,Bachelor,2K-5K,3937,1,Silver,30564
0098,Male,Rural,High School,5K-10K,0,1,Gold,30684
0099,Male,Urban,Bachelor,5K-10K,2398,More than 1,Gold,105180
0100,Male,Urban,High School,5K-10K,9840,More than 1,Gold,68400
0101,Female,Rural,High School,5K-10K,4861,1,Gold,35736
0102,Male,Urban,Bachelor,5K-10K,15703,More than 1,Platinum,63648
0103,Male,Urban,High School,More than 10K,8869,More than 1,Platinum,168768
0104,Female,Urban,High School,5K-10K,3922,1,Platinum,36720
0105,Male,Rural,High School,5K-10K,3011,More than 1,Platinum,71844
0106,Male,Urban,High School,5K-10K,4083,More than 1,Silver,147972
0107,Female,Urban,High School,5K-10K,6512,More than 1,Platinum,61764
0108,Male,Urban,High School,5K-10K,2696,More than 1,Gold,306804
0109,Male,Urban,Bachelor,2K-5K,5793,More than 1,Platinum,371784
0110,Female,Rural,High School,5K-10K,5504,1,Gold,81072
0111,Male,Urban,Bachelor,2K-5K,3714,1,Silver,53772
0112,Male,Urban,Bachelor,<=2K,6270,More than 1,Silver,63120
0113,Male,Urban,Bachelor,5K-10K,3243,1,Gold,48600
0114,Male,Rural,High School,5K-10K,0,More than 1,Platinum,120864
0115,Female,Urban,Bachelor,2K-5K,6406,More than 1,Silver,237348
0116,Male,Urban,High School,2K-5K,7451,More than 1,Platinum,310416
0117,Female,Rural,High School,More than 10K,0,More than 1,Platinum,99420
0118,Male,Urban,Bachelor,5K-10K,2281,1,Silver,32496
0119,Female,Urban,Bachelor,5K-10K,3412,1,Gold,56928
0120,Female,Urban,Bachelor,5K-10K,5297,1,Platinum,31044
0121,Female,Urban,High School,5K-10K,3164,More than 1,Platinum,136452
0122,Male,Urban,Bachelor,5K-10K,2471,More than 1,Platinum,67920
0123,Male,Urban,High School,5K-10K,2836,1,Gold,33528
0124,Male,Urban,Others,2K-5K,5192,More than 1,Silver,56184
0125,Female,Urban,Bachelor,More than 10K,9715,More than 1,Gold,66000
0126,Female,Urban,High School,2K-5K,4005,More than 1,Platinum,102780
0127,Male,Rural,Bachelor,More than 10K,0,1,Platinum,35760
0128,Female,Urban,High School,5K-10K,3247,More than 1,Silver,172440
0129,Female,Urban,High School,5K-10K,3020,More than 1,Platinum,64176
0130,Male,Urban,High School,2K-5K,3838,More than 1,Silver,66132
0131,Male,Rural,High School,5K-10K,2985,More than 1,Gold,62592
0132,Male,Urban,Bachelor,More than 10K,5676,More than 1,Platinum,334836
0133,Male,Urban,High School,5K-10K,0,1,Silver,35988
0134,Female,Urban,High School,5K-10K,7174,More than 1,Gold,69360
0135,Male,Rural,High School,5K-10K,0,1,Silver,72492
0136,Male,Urban,High School,2K-5K,5612,1,Silver,31908
0137,Female,Urban,High School,5K-10K,3426,More than 1,Gold,100764
0138,Male,Urban,High School,2K-5K,7269,More than 1,Gold,64644
0139,Male,Urban,Bachelor,2K-5K,5555,More than 1,Silver,72432
0140,Female,Urban,Bachelor,2K-5K,4449,More than 1,Platinum,45924
0141,Male,Rural,Bachelor,More than 10K,0,1,Platinum,34272
0142,Male,Urban,Bachelor,2K-5K,6800,More than 1,Platinum,515556
0143,Male,Urban,High School,5K-10K,13304,More than 1,Platinum,360924
0144,Male,Urban,Bachelor,More than 10K,5854,More than 1,Platinum,291300
0145,Male,Urban,Bachelor,5K-10K,3957,More than 1,Silver,101880
0146,Female,Urban,High School,2K-5K,9876,More than 1,Platinum,76380
0147,Male,Rural,Bachelor,5K-10K,0,More than 1,Platinum,94188
0148,Male,Urban,Bachelor,2K-5K,2378,More than 1,Platinum,69804
0149,Male,Urban,Bachelor,5K-10K,5528,1,Platinum,31452
0150,Male,Rural,Bachelor,More than 10K,7239,More than 1,Gold,119028
0151,Female,Urban,Bachelor,2K-5K,3920,More than 1,Gold,55344
0152,Male,Urban,Bachelor,5K-10K,5172,1,Silver,108492
0153,Male,Urban,High School,5K-10K,3901,1,Platinum,58560
0154,Male,Rural,High School,2K-5K,0,More than 1,Silver,55404
0155,Female,Rural,Bachelor,5K-10K,3097,1,Platinum,34368
0156,Female,Urban,High School,5K-10K,6324,More than 1,Gold,94692
0157,Male,Rural,High School,5K-10K,0,More than 1,Silver,128748
0158,Male,Urban,High School,5K-10K,3760,1,Platinum,66084
0159,Female,Urban,High School,2K-5K,5803,More than 1,Silver,73632
0160,Male,Rural,Bachelor,5K-10K,2951,More than 1,Gold,267360
0161,Female,Urban,High School,5K-10K,2873,More than 1,Silver,101064
0162,Female,Rural,High School,5K-10K,2302,More than 1,Platinum,58752
0163,Female,Rural,High School,5K-10K,0,More than 1,Gold,112368
0164,Male,Urban,High School,5K-10K,8641,More than 1,Gold,70584
0165,Male,Rural,Bachelor,5K-10K,5116,1,Platinum,28332
0166,Male,Urban,Bachelor,2K-5K,3576,1,Silver,58812
0167,Female,Urban,High School,5K-10K,3810,More than 1,Gold,153648
0168,Male,Rural,High School,More than 10K,0,More than 1,Platinum,99900
0169,Male,Urban,Bachelor,2K-5K,12260,More than 1,Gold,131616
0170,Female,Rural,Bachelor,More than 10K,0,1,Platinum,38280
0171,Male,Rural,Bachelor,More than 10K,2280,More than 1,Platinum,103740
0172,Female,Urban,Bachelor,2K-5K,5473,More than 1,Silver,61728
0173,Female,Rural,Bachelor,2K-5K,2557,More than 1,Gold,69936
0174,Male,Urban,Bachelor,5K-10K,8788,More than 1,Silver,73944
0175,Female,Rural,Bachelor,More than 10K,0,More than 1,Silver,98232
0176,Female,Urban,High School,2K-5K,5683,More than 1,Platinum,65664
0177,Female,Urban,Bachelor,2K-5K,6706,1,Platinum,31116
0178,Male,Rural,High School,More than 10K,0,More than 1,Platinum,61200
0179,Male,Rural,Bachelor,More than 10K,0,More than 1,Silver,147648
0180,Male,Urban,Bachelor,2K-5K,6745,More than 1,Silver,99624
0181,Male,Urban,Bachelor,5K-10K,7720,More than 1,Gold,71124
0182,Male,Urban,High School,5K-10K,6017,More than 1,Platinum,65772
0183,Male,Urban,Bachelor,5K-10K,2366,1,Gold,47784
0184,Female,Urban,Bachelor,5K-10K,5841,More than 1,Gold,146556
0185,Female,Urban,Bachelor,2K-5K,5639,More than 1,Silver,32688
0186,Female,Rural,High School,More than 10K,0,1,Platinum,34884
0187,Male,Urban,High School,More than 10K,4640,1,Silver,68040
0188,Male,Urban,Bachelor,2K-5K,4998,More than 1,Silver,70008
0189,Female,Urban,High School,5K-10K,6100,1,Silver,52788
0190,Male,Rural,Bachelor,5K-10K,0,1,Gold,31188
0191,Male,Rural,High School,5K-10K,0,More than 1,Silver,66024
0192,Female,Urban,High School,<=2K,6374,1,Platinum,36420
0193,Female,Rural,High School,2K-5K,0,More than 1,Platinum,158028
0194,Male,Urban,High School,5K-10K,15311,1,Platinum,34980
0195,Female,Rural,High School,5K-10K,2386,1,Platinum,34656
0196,Female,Urban,Bachelor,<=2K,3964,More than 1,Platinum,103824
0197,Female,Urban,High School,5K-10K,5472,More than 1,Platinum,132780
0198,Male,Urban,High School,5K-10K,5245,More than 1,Platinum,61752
0199,Female,Urban,High School,5K-10K,6365,More than 1,Platinum,70020
0200,Male,Urban,Bachelor,More than 10K,5843,1,Platinum,32808
0201,Female,Urban,High School,2K-5K,5195,More than 1,Platinum,68436
0202,Male,Rural,Bachelor,5K-10K,2833,1,Silver,60720
0203,Male,Rural,High School,More than 10K,0,1,Silver,32940
0204,Male,Urban,High School,5K-10K,10116,More than 1,Platinum,109344
0205,Male,Rural,Bachelor,5K-10K,2118,More than 1,Platinum,175572
0206,Male,Urban,High School,5K-10K,2467,More than 1,Platinum,59544
0207,Female,Rural,High School,5K-10K,2678,More than 1,Silver,69084
0208,Male,Urban,Bachelor,2K-5K,4335,1,Silver,68748
0209,Male,Urban,High School,More than 10K,5628,1,Gold,39300
0210,Male,Rural,Others,5K-10K,0,1,Platinum,59436
0211,Male,Urban,Bachelor,2K-5K,3770,More than 1,Platinum,68460
0212,Female,Urban,Bachelor,5K-10K,3900,More than 1,Platinum,62172
0213,Male,Urban,Bachelor,5K-10K,3737,1,Silver,53484
0214,Male,Urban,Bachelor,2K-5K,2369,More than 1,Platinum,77568
0215,Male,Urban,Bachelor,2K-5K,7120,More than 1,Gold,53568
0216,Female,Rural,Bachelor,5K-10K,0,1,Platinum,60468
0217,Male,Rural,High School,More than 10K,0,More than 1,Gold,90732
0218,Female,Urban,High School,More than 10K,3771,More than 1,Platinum,64644
0219,Male,Rural,High School,5K-10K,3490,1,Silver,35052
0220,Male,Urban,Bachelor,5K-10K,4142,More than 1,Gold,105648
0221,Male,Urban,High School,5K-10K,4054,More than 1,Gold,67380
0222,Male,Urban,High School,2K-5K,8804,More than 1,Platinum,130752
0223,Male,Rural,Bachelor,More than 10K,0,More than 1,Silver,63672
0224,Male,Urban,Bachelor,5K-10K,6513,More than 1,Platinum,67032
0225,Male,Urban,High School,2K-5K,5452,More than 1,Platinum,58716
0226,Male,Urban,High School,2K-5K,5123,1,Gold,32508
0227,Male,Urban,Bachelor,2K-5K,0,1,Silver,59616
0228,Male,Rural,High School,5K-10K,0,More than 1,Gold,68988
0229,Male,Urban,High School,2K-5K,7782,1,Platinum,55476
0230,Female,Rural,High School,More than 10K,2528,More than 1,Platinum,56028
0231,Male,Urban,Bachelor,5K-10K,2460,1,Silver,48240
0232,Male,Rural,Bachelor,More than 10K,0,1,Platinum,30744
0233,Male,Urban,Bachelor,2K-5K,5460,1,Silver,58500
0234,Female,Rural,Bachelor,2K-5K,5963,More than 1,Silver,69516
0235,Male,Urban,High School,5K-10K,5611,More than 1,Platinum,88068
0236,Male,Urban,Bachelor,5K-10K,2363,1,Platinum,33612
0237,Male,Urban,Bachelor,5K-10K,4343,More than 1,Platinum,296832
0238,Male,Urban,High School,5K-10K,4448,More than 1,Platinum,246876
0239,Female,Urban,High School,2K-5K,8603,More than 1,Platinum,398700
0240,Male,Urban,Others,2K-5K,3895,1,Gold,67140
0241,Male,Urban,High School,5K-10K,7171,More than 1,Platinum,94980
0242,Female,Urban,Bachelor,More than 10K,0,1,Silver,66324
0243,Male,Urban,High School,5K-10K,5561,1,Gold,47520
0244,Female,Urban,High School,2K-5K,5603,1,Silver,50292
0245,Female,Rural,High School,2K-5K,0,More than 1,Gold,141048
0246,Female,Rural,High School,5K-10K,5525,1,Platinum,58068
0247,Male,Urban,High School,2K-5K,3706,1,Gold,28728
0248,Female,Rural,High School,5K-10K,0,1,Platinum,32220
0249,Male,Rural,Bachelor,5K-10K,0,1,Platinum,51420
0250,Female,Urban,Bachelor,More than 10K,7447,More than 1,Platinum,100440
0251,Male,Urban,High School,5K-10K,3931,1,Gold,33360
0252,Male,Urban,High School,More than 10K,6361,More than 1,Platinum,499656
0253,Male,Rural,Bachelor,5K-10K,2572,1,Platinum,31344
0254,Female,Urban,Bachelor,More than 10K,0,1,Platinum,67560
0255,Female,Urban,Bachelor,<=2K,7260,More than 1,Silver,51684
0256,Male,Rural,Bachelor,5K-10K,0,1,Platinum,52800
0257,Female,Urban,High School,5K-10K,3650,More than 1,Platinum,69456
0258,Male,Urban,Bachelor,5K-10K,6507,More than 1,Platinum,200088
0259,Male,Urban,High School,More than 10K,4127,More than 1,Silver,102036
0260,Female,Rural,High School,5K-10K,4784,More than 1,Gold,272244
0261,Male,Urban,High School,2K-5K,16871,More than 1,Platinum,65376
0262,Female,Rural,High School,5K-10K,2993,1,Platinum,60168
0263,Female,Urban,High School,5K-10K,8365,1,Silver,76080
0264,Male,Urban,High School,5K-10K,7361,1,Gold,34332
0265,Female,Rural,High School,More than 10K,3615,1,Silver,53292
0266,Male,Urban,High School,More than 10K,6350,More than 1,Gold,63312
0267,Male,Urban,High School,5K-10K,4303,More than 1,Platinum,60492
0268,Male,Urban,High School,2K-5K,5820,1,Platinum,71520
0269,Male,Rural,High School,5K-10K,0,1,Gold,31008
0270,Female,Urban,High School,2K-5K,3935,1,Gold,31068
0271,Male,Urban,High School,5K-10K,10855,More than 1,Platinum,102696
0272,Female,Rural,High School,5K-10K,2425,1,Platinum,50244
0273,Female,Rural,High School,5K-10K,0,1,Silver,35364
0274,Female,Urban,High School,5K-10K,3751,1,Platinum,63804
0275,Male,Urban,Bachelor,5K-10K,10268,More than 1,Platinum,106536
0276,Female,Rural,High School,5K-10K,0,1,Gold,63756
0277,Male,Urban,Bachelor,5K-10K,0,More than 1,Platinum,34032
0278,Male,Urban,High School,5K-10K,14698,More than 1,Platinum,172260
0279,Male,Urban,High School,2K-5K,7505,1,Platinum,65712
0280,Male,Urban,Bachelor,5K-10K,6158,More than 1,Gold,58380
0281,Female,Rural,High School,5K-10K,3941,1,Platinum,29796
0282,Male,Rural,High School,5K-10K,4242,More than 1,Gold,63948
0283,Male,Urban,Bachelor,5K-10K,6278,1,Silver,75192
0284,Female,Urban,High School,5K-10K,5843,More than 1,Platinum,96492
0285,Female,Urban,High School,2K-5K,5005,1,Platinum,30900
0286,Male,Urban,High School,More than 10K,3986,More than 1,Platinum,62664
0287,Female,Urban,High School,5K-10K,10558,1,Gold,57780
0288,Male,Rural,High School,More than 10K,3459,More than 1,Platinum,64248
0289,Female,Urban,High School,5K-10K,3749,1,Platinum,66072
0290,Female,Rural,Bachelor,5K-10K,0,More than 1,Platinum,62040
0291,Female,Urban,High School,5K-10K,3735,More than 1,Platinum,56448
0292,Female,Rural,Bachelor,2K-5K,4120,More than 1,Silver,110316
0293,Male,Urban,High School,5K-10K,6706,1,Gold,58608
0294,Male,Rural,Bachelor,5K-10K,0,More than 1,Gold,65388
0295,Male,Urban,High School,5K-10K,11386,More than 1,Silver,73440
0296,Male,Rural,High School,5K-10K,0,1,Platinum,30492
0297,Female,Urban,Bachelor,5K-10K,10974,More than 1,Platinum,102084
0298,Male,Urban,Bachelor,5K-10K,2452,More than 1,Gold,70272
0299,Male,Rural,High School,5K-10K,8392,More than 1,Gold,99132
0300,Male,Urban,Bachelor,5K-10K,6992,More than 1,Silver,64848
0301,Male,Urban,High School,5K-10K,5803,More than 1,Platinum,211608
0302,Female,Urban,High School,5K-10K,0,More than 1,Silver,624216
0303,Female,Rural,High School,5K-10K,0,More than 1,Platinum,60948
0304,Female,Urban,Bachelor,2K-5K,3562,More than 1,Silver,62664
0305,Male,Urban,High School,5K-10K,6590,More than 1,Platinum,371148
0306,Male,Urban,High School,5K-10K,4356,More than 1,Platinum,64332
0307,Male,Urban,High School,5K-10K,7235,More than 1,Platinum,98112
0308,Male,Urban,Bachelor,5K-10K,6908,More than 1,Platinum,89652
0309,Female,Rural,Bachelor,5K-10K,2794,More than 1,Platinum,139308
0310,Male,Urban,High School,5K-10K,5326,1,Silver,37104
0311,Male,Urban,High School,2K-5K,8093,More than 1,Platinum,105984
0312,Female,Urban,High School,5K-10K,9826,More than 1,Platinum,587496
0313,Female,Urban,High School,2K-5K,0,More than 1,Platinum,162060
0314,Female,Urban,Bachelor,More than 10K,2418,More than 1,Gold,32796
0315,Female,Rural,High School,More than 10K,3595,More than 1,Silver,73932
0316,Female,Urban,High School,5K-10K,4125,1,Platinum,65148
0317,Female,Rural,Bachelor,More than 10K,2515,1,Platinum,35700
0318,Female,Rural,Bachelor,More than 10K,0,1,Gold,41892
0319,Female,Urban,Bachelor,5K-10K,5020,1,Gold,56112
0320,Male,Urban,High School,5K-10K,6521,More than 1,Platinum,174924
0321,Female,Rural,High School,5K-10K,2552,More than 1,Gold,59568
0322,Male,Rural,Bachelor,5K-10K,2861,1,Platinum,71892
0323,Male,Rural,High School,5K-10K,2385,1,Silver,31632
0324,Male,Urban,High School,2K-5K,6034,More than 1,Gold,437460
0325,Male,Rural,High School,More than 10K,3364,More than 1,Platinum,99144
0326,Female,Urban,Others,2K-5K,5691,More than 1,Gold,101004
0327,Female,Rural,High School,More than 10K,0,1,Platinum,69948
0328,Female,Urban,High School,5K-10K,5686,1,Platinum,71292
0329,Female,Urban,High School,2K-5K,5454,More than 1,Platinum,96408
0330,Male,Urban,Bachelor,2K-5K,15046,More than 1,Platinum,155520
0331,Female,Urban,Bachelor,More than 10K,3986,More than 1,Platinum,108924
0332,Female,Urban,Bachelor,5K-10K,2570,More than 1,Platinum,111012
0333,Female,Rural,Bachelor,More than 10K,0,More than 1,Platinum,60624
0334,Female,Urban,High School,5K-10K,0,1,Platinum,47376
0335,Female,Urban,Bachelor,5K-10K,0,More than 1,Platinum,299556
0336,Male,Urban,Bachelor,5K-10K,0,More than 1,Silver,110100
0337,Male,Rural,Bachelor,More than 10K,0,More than 1,Gold,59964
0338,Female,Urban,High School,2K-5K,2375,More than 1,Platinum,261240
0339,Male,Urban,High School,2K-5K,3682,More than 1,Gold,180120
0340,Female,Urban,Bachelor,5K-10K,3778,More than 1,Gold,102024
0341,Female,Urban,High School,5K-10K,6350,More than 1,Silver,65088
0342,Male,Rural,Bachelor,More than 10K,0,More than 1,Silver,99960
0343,Male,Rural,Bachelor,5K-10K,0,1,Platinum,36720
0344,Male,Urban,Bachelor,More than 10K,4101,1,Platinum,31896
0345,Male,Rural,Bachelor,5K-10K,0,More than 1,Gold,223320
0346,Male,Urban,High School,5K-10K,0,More than 1,Gold,298944
0347,Female,Urban,High School,5K-10K,6608,More than 1,Gold,92916
0348,Female,Urban,Bachelor,2K-5K,3074,More than 1,Platinum,68688
0349,Female,Urban,Bachelor,5K-10K,5432,More than 1,Platinum,92988
0350,Male,Urban,High School,5K-10K,4217,More than 1,Gold,96528
0351,Female,Urban,High School,5K-10K,2372,More than 1,Platinum,64260
0352,Female,Urban,Bachelor,2K-5K,12245,More than 1,Gold,183348
0353,Female,Urban,High School,5K-10K,4082,More than 1,Platinum,79380
0354,Male,Urban,Bachelor,5K-10K,3800,1,Silver,99168
0355,Female,Urban,High School,2K-5K,8467,More than 1,Gold,142992
0356,Female,Urban,High School,5K-10K,0,1,Platinum,58044
0357,Male,Urban,Bachelor,5K-10K,9021,More than 1,Platinum,103452
0358,Male,Rural,High School,More than 10K,4604,1,Platinum,34536
0359,Male,Urban,High School,5K-10K,3078,More than 1,Platinum,66684
0360,Female,Rural,Bachelor,5K-10K,0,More than 1,Silver,163212
0361,Female,Urban,Bachelor,2K-5K,6312,More than 1,Silver,167340
0362,Female,Urban,Bachelor,5K-10K,5683,1,Platinum,67200
0363,Female,Urban,Bachelor,2K-5K,4328,1,Gold,31032
0364,Male,Urban,Bachelor,5K-10K,13268,1,Platinum,103632
0365,Male,Rural,Bachelor,5K-10K,0,More than 1,Silver,62940
0366,Male,Urban,High School,5K-10K,6261,More than 1,Gold,262476
0367,Male,Urban,High School,More than 10K,4034,More than 1,Gold,58428
0368,Male,Urban,High School,5K-10K,2315,1,Silver,39108
0369,Female,Rural,High School,More than 10K,6227,1,Gold,33144
0370,Male,Urban,High School,2K-5K,5375,More than 1,Platinum,68448
0371,Female,Urban,High School,5K-10K,3841,More than 1,Platinum,97368
0372,Male,Rural,Bachelor,2K-5K,0,1,Silver,59292
0373,Female,Urban,High School,5K-10K,3899,More than 1,Silver,65736
0374,Male,Urban,High School,5K-10K,4626,More than 1,Platinum,246084
0375,Male,Urban,High School,2K-5K,6250,More than 1,Platinum,251196
0376,Female,Urban,High School,2K-5K,4433,1,Gold,31476
0377,Female,Urban,High School,5K-10K,0,1,Platinum,35220
0378,Male,Rural,High School,5K-10K,0,1,Platinum,29124
0379,Male,Rural,High School,2K-5K,2730,More than 1,Silver,120708
0380,Male,Urban,Bachelor,2K-5K,4328,More than 1,Platinum,57444
0381,Female,Urban,Bachelor,5K-10K,4053,More than 1,Platinum,73344
0382,Female,Urban,Others,5K-10K,5556,1,Silver,38112
0383,Male,Rural,High School,5K-10K,2855,More than 1,Silver,107484
0384,Female,Urban,High School,2K-5K,5926,More than 1,Platinum,76920
0385,Male,Urban,High School,More than 10K,5532,More than 1,Platinum,223908
0386,Male,Urban,High School,5K-10K,16127,More than 1,Gold,141156
0387,Female,Urban,High School,More than 10K,5133,More than 1,Gold,64896
0388,Male,Rural,High School,2K-5K,3840,More than 1,Platinum,29940
0389,Female,Rural,High School,More than 10K,0,More than 1,Platinum,66888
0390,Female,Urban,High School,5K-10K,0,More than 1,Platinum,94872
0391,Male,Urban,High School,5K-10K,4548,More than 1,Silver,72708
0392,Female,Urban,High School,2K-5K,6560,More than 1,Platinum,66132
0393,Male,Urban,Bachelor,5K-10K,3175,1,Gold,64992
0394,Female,Urban,High School,2K-5K,6816,1,Platinum,34512
0395,Female,Urban,Bachelor,5K-10K,4593,More than 1,Platinum,274596
0396,Female,Urban,Bachelor,2K-5K,2919,More than 1,Silver,67464
0397,Female,Urban,Bachelor,5K-10K,0,1,Silver,32892
0398,Male,Rural,Others,5K-10K,0,More than 1,Gold,50868
0399,Female,Urban,Bachelor,2K-5K,10379,More than 1,Gold,145692
0400,Female,Urban,Bachelor,5K-10K,2013,1,Gold,30252
0401,Male,Urban,High School,More than 10K,2562,More than 1,Platinum,104976
